5B	24408853	miR2118
5B	24482230	miR2118
5B	24555604	miR2118
5B	24628963	miR2118
5B	24702293	miR2118
5B	24775667	miR2118
5B	24849075	miR2118
5B	24922415	miR2118
5B	24979343	miR2118
5B	25052731	miR2118
5B	25077699	miR2118
5B	25107927	miR2118
5B	25505295	Novel
5B	25532977	miR2118
5B	25554733	Novel
5B	25693977	miR2118
5B	25762712	miR2118
5B	78247259	miR167
5B	78249854	miR167
5B	125715712	Novel
5B	288762585	Novel
5B	430518892	miR5168
5B	459835481	Novel
5B	524848155	miR5175
5B	552635335	Novel
5B	584583964	miR166
5B	588417513	miR167
5B	602692205	Novel
5B	636907806	miR167
5B	674799791	miR390
5B	695970283	miR5181
5B	696174464	miR5181
5B	700727096	miR1130
5B	706801487	Novel
6A	7423059	miR9666
6A	8168382	miR9666
6A	18229226	miR9666
6A	23860402	miR9674
6A	40049847	miR9666
6A	40060145	Novel
6A	52141328	miR9666
6A	58937086	miR168
6A	68015647	miR9655
6A	102232066	miR1847
6A	102232066	Novel
6A	104830647	Novel
6A	112064432	miR397
6A	117739731	miR9662
6A	165180956	Novel
6A	375145167	Novel
6A	512051364	Novel
6A	598288215	miR396
6A	598375988	miR396
6A	610090085	miR172
6A	611650730	miR9666
6A	617792704	miR9666
6A	617797142	miR9666
6A	619190688	miR396
6A	623412103	Novel
6B	548122	Novel
6B	548122	Novel
6B	40742931	miR9674
6B	40743131	miR9674
6B	110602243	miR168
6B	127061498	miR9655
6B	177292472	miR397
6B	184841276	miR9662
6B	199716085	miR156
6B	360690463	Novel
6B	450486664	miR156
6B	615015647	Novel
6B	628968372	miR399
6B	673147939	Novel
6B	693313384	miR396
6B	693414626	miR396
6B	712360245	miR172
6B	721844363	miR1130
6B	725871973	miR396
6B	731939428	Novel
7A	3151796	miR9666
7A	7959066	miR172
7A	14735910	miR9666
7A	25257593	miR9666
7A	26697076	miR9666
7A	48617687	miR9666
7A	53172397	Novel
7A	55847483	miR9666
7A	59134608	miR9666
7A	73644351	miR9666
7A	92233988	miR396
7A	95551041	miR5175
7A	95551041	miR5049
7A	103313986	miR9666
7A	153929502	Novel
7A	322770634	Novel
7A	450499665	miR160
7A	458057116	miR2275
7A	458057294	miR2275
7A	458057428	miR2275
7A	526528677	Novel
7A	530560594	miR399
7A	573674991	miR166
7A	577015814	miR171
7A	579638961	miR9666
7A	646866846	miR9666
7A	662070236	Novel
7A	662070236	Novel
7A	669760062	miR160
7A	672245262	Novel
7A	678062554	Novel
7A	718713123	miR9666
7B	35324156	miR396
7B	111623588	Novel
7B	384147075	miR160
7B	392388242	miR2275
7B	501257944	miR399
7B	506497852	Novel
7B	523659153	miR166
7B	628456733	miR160
7B	724841540	miR1130
Un	68785038	miR9666
Un	105965513	miR2118
Un	159507293	miR399
Un	200856020	miR9666
